sample_index,adc_raw,voltage_V
543,2038,0.41051
544,2237,0.45060
545,1937,0.39017
546,1493,0.30073
547,887,0.17867
548,403,0.08118
549,336,0.06768
550,678,0.13657
551,1191,0.23990
552,1713,0.34505
553,2145,0.43206
554,2168,0.43670
555,1892,0.38110
556,1299,0.26166
557,738,0.14865
558,375,0.07554
559,373,0.07513
560,780,0.15711
561,1313,0.26448
562,1880,0.37869
563,2121,0.42723
564,2112,0.42542
565,1741,0.35069
566,1194,0.24051
567,656,0.13214
568,328,0.06607
569,475,0.09568
570,858,0.17283
571,1507,0.30355
572,1980,0.39883
573,2169,0.43690
574,2014,0.40568
575,1613,0.32490
576,977,0.19680
577,536,0.10797
578,363,0.07312
579,558,0.11240
580,1065,0.21452
581,1682,0.33880
582,2045,0.41192
583,2234,0.44999
584,1956,0.39399
585,1464,0.29489
586,817,0.16457
587,447,0.09004
588,372,0.07493
589,675,0.13596
590,1229,0.24756
591,1803,0.36318
592,2128,0.42864
593,2197,0.44254
594,1856,0.37385
595,1327,0.26730
596,731,0.14724
597,392,0.07896
598,382,0.07695
599,793,0.15973
600,1346,0.27112
601,1913,0.38533
602,2132,0.42945
603,2117,0.42642
604,1680,0.33840
605,1134,0.22842
606,615,0.12388
607,355,0.07151
608,493,0.09930
609,950,0.19136
610,1466,0.29529
611,1958,0.39440
612,2214,0.44596
613,2028,0.40850
614,1528,0.30778
615,1052,0.21190
616,489,0.09850
617,332,0.06687
618,505,0.10172
619,1090,0.21956
620,1632,0.32873
621,2070,0.41696
622,2232,0.44959
623,1994,0.40165
624,1374,0.27676
625,846,0.17041
626,377,0.07594
627,357,0.07191
628,686,0.13818
629,1258,0.25340
630,1754,0.35331
631,2114,0.42582
632,2177,0.43851
633,1842,0.37103
634,1259,0.25360
635,712,0.14342
636,346,0.06969
637,394,0.07936
638,788,0.15873
639,1388,0.27958
640,1874,0.37748
641,2207,0.44455
642,2095,0.42199
643,1696,0.34162
644,1120,0.22560
645,614,0.12368
646,367,0.07392
647,428,0.08621
648,949,0.19116
649,1530,0.30819
650,1972,0.39722
